rank,title_cn,title_en,rating,rating_count,director,actors,summary,detail_url,release_year,duration,genres,imdb_rating,poster_path
32,指环王3：王者无敌,/ The Lord of the Rings: The Return of the King,9.3,911659,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,史诗的终章。,https://movie.douban.com/subject/1291552/,2003,,,,
33,我不是药神,/ 中国药神  /  印度药神,9.0,2352805,文牧野 Muye Wen,徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,对我们国家而言，这样的电影多一部是一部。,https://movie.douban.com/subject/26752088/,2018,,,,
34,乱世佳人,/ Gone with the Wind,9.3,796657,维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor,费...,Tomorrow is another day.,https://movie.douban.com/subject/1300267/,1939,,,,
35,飞屋环游记,/ Up,9.1,1502625,彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson,爱德...,最后那些最无聊的事情，才是最值得怀念的。,https://movie.douban.com/subject/2129039/,2009,,,,
36,让子弹飞,/ 让子弹飞一会儿  /  火烧云,9.0,1922354,姜文 Wen Jiang,姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/,2010,,,,
37,哈尔的移动城堡,/ ハウルの動く城,9.1,1293234,宫崎骏 Hayao Miyazaki,倍赏千惠子 Chieko Baishô / 木村拓...,带着心爱的人在天空飞翔。,https://movie.douban.com/subject/1308807/,2004,,,,
38,十二怒汉,/ 12 Angry Men,9.4,579973,西德尼·吕美特 Sidney Lumet,亨利·方达 Henry Fonda / 马丁...,1957年的理想主义。,https://movie.douban.com/subject/1293182/,1957,,,,
39,海蒂和爷爷,/ Heidi,9.3,783623,阿兰·葛斯彭纳 Alain Gsponer,阿努克·斯特芬 Anuk Steffen /...,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,2015,,,,
40,素媛,/ 소원,9.3,777203,李濬益 Jun-ik Lee,薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,2013,,,,
41,猫鼠游戏,/ Catch Me If You Can,9.1,1213025,史蒂文·斯皮尔伯格 Steven Spielberg,莱昂纳多·迪卡普里奥 L...,骗子大师和执著警探的你追我跑故事。,https://movie.douban.com/subject/1305487/,2002,,,,
42,天空之城,/ 天空の城ラピュタ,9.2,1010447,宫崎骏 Hayao Miyazaki,田中真弓 Mayumi Tanaka / 横泽启子 Ke...,对天空的追逐，永不停止。,https://movie.douban.com/subject/1291583/,1986,,,,
43,鬼子来了,/ Devils on the Doorstep,9.3,716319,姜文 Wen Jiang,姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,2000,,,,
44,摔跤吧！爸爸,/ Dangal,9.0,1747569,涅提·蒂瓦里 Nitesh Tiwari,阿米尔·汗 Aamir Khan / 法缇玛...,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,2016,,,,
45,少年派的奇幻漂流,/ Life of Pi,9.1,1491294,李安 Ang Lee,苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,2012,,,,
46,钢琴家,/ The Pianist,9.3,751396,罗曼·波兰斯基 Roman Polanski,艾德里安·布洛迪 Adrien Brod...,,https://movie.douban.com/subject/1296736/,2002,,,,
47,指环王2：双塔奇兵,/ The Lord of the Rings: The Two Towers,9.2,858627,彼得·杰克逊 Peter Jackson,伊利亚·伍德 Elijah Wood / 西恩...,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,2002,,,,
48,死亡诗社,/ Dead Poets Society,9.2,885332,彼得·威尔 Peter Weir,罗宾·威廉姆斯 Robin Williams / 罗伯...,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,1989,,,,
49,大话西游之月光宝盒,/ 西遊記第壹佰零壹回之月光寶盒,9.0,1367407,刘镇伟 Jeffrey Lau,周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,,https://movie.douban.com/subject/1299398/,1995,,,,
50,绿皮书,/ Green Book,8.9,1895630,彼得·法雷里 Peter Farrelly,维果·莫腾森 Viggo Mortensen /...,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,2018,,,,
51,何以为家,/ كفرناحوم,9.1,1163808,娜丁·拉巴基 Nadine Labaki,扎因·拉费阿 Zain al-Rafeea / ...,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,2018,,,,
52,闻香识女人,/ Scent of a Woman,9.1,1024896,马丁·布莱斯 Martin Brest,阿尔·帕西诺 Al Pacino / 克里斯...,,https://movie.douban.com/subject/1298624/,1992,,,,
53,大闹天宫,/ 大闹天宫 上下集  /  The Monkey King,9.4,510816,万籁鸣 Laiming Wan,邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,,https://movie.douban.com/subject/1418019/,1961,,,,
